LAMBX,LAMBY,order,seasonal_order,ar.L1,ma.L1,ma.L2,ma.S.L12,sigma2,source_model
10120,24650,"(1, 0, 2)","(0, 1, 1, 12)",0.8978453151157078,-0.7923317704250191,-0.039566879981469655,-0.9284664586673558,3.3714168899257584,sarima_lambx_10120_lamby_24650.pkl
10120,24570,"(1, 0, 2)","(0, 1, 1, 12)",0.35637925719032004,-0.2548734107271434,0.041443643987326965,-0.9424508769136896,3.1740566642764976,sarima_lambx_10120_lamby_24570.pkl
10200,18810,"(1, 0, 2)","(0, 1, 1, 12)",0.8301832807710344,-0.6352138485251606,-0.07903011128982237,-0.8869637049627848,1.2596070389731893,sarima_lambx_10200_lamby_18810.pkl
10200,18890,"(1, 0, 2)","(0, 1, 1, 12)",0.579974514726765,-0.3965022356872009,-0.01725252924082515,-0.903062644196123,1.441315393949816,sarima_lambx_10200_lamby_18890.pkl
10200,18970,"(1, 0, 2)","(0, 1, 1, 12)",0.3678699730309882,-0.2086636837224564,0.03770783877910668,-0.912176177703765,1.8286919119266938,sarima_lambx_10200_lamby_18970.pkl
10200,19050,"(1, 0, 2)","(0, 1, 1, 12)",0.6030885350845198,-0.4507357716308955,0.004940930655343752,-0.8869369595315569,1.8910276717071413,sarima_lambx_10200_lamby_19050.pkl
10200,19130,"(1, 0, 2)","(0, 1, 1, 12)",0.40908609442728283,-0.264827261455554,0.043068380782344144,-1.1081879657815923,1.637740375025091,sarima_lambx_10200_lamby_19130.pkl
10200,19210,"(1, 0, 2)","(0, 1, 1, 12)",0.38004722990918843,-0.25958028166540764,0.061400118218301436,-1.1024820782071887,1.7888773923943682,sarima_lambx_10200_lamby_19210.pkl
10200,21210,"(1, 0, 2)","(0, 1, 1, 12)",0.3601232156676481,-0.2859547535485269,0.04903163403027116,-1.015601270491221,3.0593557883951727,sarima_lambx_10200_lamby_21210.pkl
10200,21290,"(1, 0, 2)","(0, 1, 1, 12)",0.6226563686758866,-0.540276282092632,0.02026805900026049,-1.0553719076967334,2.783402878777481,sarima_lambx_10200_lamby_21290.pkl
10200,21370,"(1, 0, 2)","(0, 1, 1, 12)",0.6006505210645108,-0.5204086119501627,0.0205831517254402,-0.952321828406294,3.0700409609097705,sarima_lambx_10200_lamby_21370.pkl
10200,21450,"(1, 0, 2)","(0, 1, 1, 12)",0.6116470516742226,-0.5314165534231248,0.015080166749479346,-1.0486274905868387,2.726817724983534,sarima_lambx_10200_lamby_21450.pkl
10200,21530,"(1, 0, 2)","(0, 1, 1, 12)",0.6420342697826085,-0.558857610983888,0.01709430614797724,-0.942498587223787,3.052536390980438,sarima_lambx_10200_lamby_21530.pkl
10200,21610,"(1, 0, 2)","(0, 1, 1, 12)",0.7972194081962286,-0.6958078321268002,-0.038819547423640646,-0.9303825337304615,2.8250574161040856,sarima_lambx_10200_lamby_21610.pkl
10200,21690,"(1, 0, 2)","(0, 1, 1, 12)",0.6478723006724973,-0.5640525872107672,0.014281998033281972,-0.9421164271476308,3.047585237394998,sarima_lambx_10200_lamby_21690.pkl
